"Id";"Obvod";"DefBod";"IdST";"IdSDC";"Nazev";"CisloOJ"
22;"POLYGON((-662029.67 -1189397.87,-662020.82 -1181200.19,-654400 -1177700,-654300.01 -1177700,-653909.11 -1177674.96,-653699.99 -1177700,-653600 -1177700,-643361.2 -1168579.42,-633364.31 -1163714.85,-619239.47 -1162402.15,-616899.99 -1159700,-616597.64 -1159371.42,-616566.78 -1159374.79,-616625.54 -1159318.91,-616682.15 -1159281.99,-616899.99 -1159000,-616561.54 -1150955.3,-612059.58 -1151596.84,-608699.01 -1153854.7,-608499.98 -1164000,-608041.32 -1164298.78,-607992.24 -1164306.09,-608000.01 -1164600,-608000.01 -1164700,-606055.54 -1166359.1,-608260.92 -1179276.2,-601599.99 -1185200,-601309.05 -1185721.02,-601100.01 -1185200,-588149.69 -1182738.57,-582688.5 -1175597.35,-582599.99 -1168800,-582599.99 -1167800,-583115.9 -1167343.63,-583284.87 -1167151.65,-583355.44 -1167041.7,-583389.91 -1166900.59,-583391.55 -1166687.29,-583503.15 -1166510.06,-583660.67 -1166155.64,-583608.15 -1165879.97,-583673.8 -1165643.67,-583829.52 -1165473.56,-583663.11 -1165441.02,-583529.41 -1165505.84,-583451.64 -1165621.57,-583430.94 -1165860.27,-583463.76 -1166135.94,-583325.94 -1166411.61,-583247.16 -1166628.21,-583260.29 -1166917.01,-583135.6 -1167153.3,-582912.43 -1167225.49,-582599.99 -1167100,-581284.64 -1164626.31,-579459.99 -1163759.93,-565341.71 -1162306.81,-556152.55 -1165289.85,-549522.4 -1182367.52,-545313.07 -1184673.66,-545364.55 -1185417.87,-545226.48 -1185446.95,-545272.03 -1185494.04,-545201.23 -1185551.85,-545129.41 -1185467.4,-544500.01 -1185600,-544600.01 -1193400,-544363.47 -1193503.15,-544346.14 -1193491.55,-544211.8 -1193375.66,-543981.3 -1193169.5,-543700.01 -1192900,-542929.67 -1193079.52,-532088.58 -1193439.55,-528606.12 -1196386.25,-527204.18 -1206295.83,-536045.16 -1209829.92,-536217.93 -1208519.71,-535994.13 -1207984.45,-536001.53 -1207981.64,-536006.49 -1207979.44,-536012.9 -1207976.46,-536333.58 -1208387.54,-536596.42 -1209000.43,-539861.8 -1205948.18,-547544.15 -1208631.66,-555971.53 -1201687.6,-555996.99 -1201685.49,-556010.72 -1201670.8,-556022.17 -1201660.46,-556042.63 -1201662.42,-556342.97 -1201713.25,-559050.29 -1200509.26,-562568.94 -1203242.12,-562801.96 -1204373.99,-564305.17 -1204209.13,-564444.16 -1204265.31,-564544.03 -1204307.22,-564672.93 -1204360.57,-564758.75 -1204395.08,-568030.58 -1209823.59,-575129.81 -1217189.31,-575227.24 -1217263.75,-575264.43 -1217296.53,-575324.47 -1217357.47,-575649.12 -1219369.15,-580720.9 -1227295.83,-582238.68 -1226365.06,-582069.27 -1215948.5,-584011.06 -1215088.75,-584799.61 -1216144.95,-584849.41 -1216135.79,-584891.76 -1216127.5,-584898.28 -1216125.98,-589934.6 -1216342.58,-595744.66 -1212119.15,-598289.49 -1213004.86,-598986.78 -1207379.36,-601203.81 -1206363,-603964.53 -1206385.36,-613528.49 -1202256,-618165.26 -1209229.79,-619066.66 -1209683.49,-619078.19 -1209662.76,-619106.49 -1209686.56,-619151.85 -1209739.21,-619706.95 -1209809,-620553.82 -1210490.39,-640996.7 -1206171.67,-646488.72 -1202502.05,-646524.91 -1202508.43,-646529.99 -1202505.04,-646532.99 -1202500.34,-646538.24 -1202480.97,-646540.04 -1202474.19,-646543.76 -1202464.29,-646568.5 -1202455.41,-655623.64 -1192443.36,-662029.67 -1189397.87))";"POINT(-583716.23 -1194064)";2;4;"Bøeclav";461
38;"POLYGON((-773181.32 -980362.97,-773496.19 -980563.69,-773722.2 -980572.06,-773893.85 -980805.41,-773295.24 -985978.96,-763890.92 -995903.25,-765444.97 -997608.97,-765411.46 -1002564.86,-763777.15 -1004043.25,-764165.93 -1013214.3,-752800.01 -1011100,-752299.99 -1011100,-751610.75 -1011113.45,-752299.99 -1011400,-750118.7 -1014871.85,-746318.08 -1013850.53,-743103.46 -1014101.67,-742400.01 -1014600,-742156.43 -1014911.79,-742057.23 -1014810.17,-742040.5 -1014826.91,-742138.13 -1014921.35,-741899.99 -1014900,-741400.02 -1014900,-735093.91 -1016549.45,-733885.44 -1016348.95,-733300 -1015300,-733469.2 -1014840.95,-733461.92 -1014837.98,-733311.44 -1014959.29,-733169.7 -1015070.21,-733000.01 -1014800,-732022.15 -1013425.2,-732035.28 -1005614.55,-739600.5 -994805.07,-748172.88 -991322.56,-755699.99 -990800,-756024.43 -990313.49,-755835.33 -990398.55,-755631.82 -990066.31,-754623.06 -986236.38,-746915.05 -980554.26,-740768.62 -970150.57,-728671.59 -969326.08,-721053.57 -965056.65,-720400 -962900,-720643.38 -962222.92,-721221.02 -961934.11,-721296.35 -961691.34,-721179.27 -961517.91,-720921.75 -961442.29,-719841.82 -960010.78,-717348.02 -960008.43,-714944.41 -955341.75,-714906.62 -955319.19,-714887.05 -955307.04,-714869.31 -955296.21,-714288.67 -955085.33,-714015.43 -952136.93,-717424.64 -952884.63,-717427.48 -952883.24,-717431.8 -952881.64,-717436.93 -952880.38,-717442.89 -952879.52,-719140.45 -953527.2,-720378.78 -952086.99,-716844.68 -945935.09,-717938.42 -944422.7,-717980.81 -944240.77,-717989.94 -944241.63,-717994.06 -944131.39,-718007 -943918.11,-723114 -939556.2,-728861.21 -939769.05,-735960.84 -935165.75,-739947.88 -941244.4,-740700.53 -942425.8,-739172.42 -943126.42,-739153.6 -943161.4,-739149 -943170.05,-739139.83 -943181.57,-739126.94 -943197.67,-737288.8 -947006.36,-731586.1 -949736,-733264.21 -953332.32,-739440.14 -954151.88,-741456.78 -952386.66,-744852.22 -956101.81,-744971.63 -956023.95,-744978.67 -956019.35,-744986.92 -956013.97,-745042.28 -955982.62,-745357.84 -955922.47,-747164.52 -956753.62,-769388.82 -960520.37,-769162.53 -965952.97,-765116.96 -968065.88,-765510.62 -970108.29,-769498.78 -971847.98,-770793.24 -973593.42,-771126.57 -973465.76,-771135.46 -973466.65,-771133.33 -973472.04,-770774.43 -973610.16,-770642.05 -973647.83,-769895.44 -973751.96,-768125.91 -974461.43,-767692.7 -975930.1,-766288.89 -977255.67,-765015.49 -977069.77,-765056.2 -977082.22,-765108.52 -977099.49,-765153.79 -977122.77,-765197.22 -977156.25,-765230.97 -977199.68,-765246.14 -977231.86,-765262.87 -977289.41,-765258.71 -977384.63,-765224.16 -977462.07,-765069.29 -977633.68,-765039.98 -977702.49,-765004.16 -977934.01,-764936.39 -978258.4,-764182.98 -979108.1,-764166.21 -980296.85,-768301.72 -982356.22,-770210.4 -982439.93,-772386.96 -981468.85,-773181.32 -980362.97))";"POINT(-748848.09 -966637.22)";18;13;"Ústí nad Labem";672
33;"POLYGON((-878741 -1042727.54,-870147.4 -1042627.19,-867087.03 -1039351.29,-867076.69 -1039364.25,-867075.62 -1039365.3,-867057.6 -1039381.94,-867044.37 -1039387.27,-867032.01 -1039392.01,-867025.06 -1039383.09,-867041.22 -1039369.59,-867041.9 -1039370.21,-867055.4 -1039357.34,-867065.59 -1039349.24,-867076.5 -1039340.12,-867031.38 -1039291.72,-866954.72 -1039363.39,-866864.73 -1039521.4,-866819.74 -1039634.42,-865888.43 -1041118.26,-862807.75 -1044768.19,-855365.51 -1045725.18,-821477.94 -1032196.94,-815799.98 -1031500,-815460.61 -1031427.47,-815369.98 -1031646.5,-815314.5 -1032284.82,-811101.6 -1037582.9,-811109.57 -1044614.45,-807849.27 -1050563.84,-791106.34 -1054046.36,-791248.69 -1064590.19,-791325.95 -1064628.63,-790729.7 -1066448.64,-790034.21 -1084335.36,-795676.98 -1088948.41,-799302 -1095572.2,-809984.96 -1100127.57,-809999.17 -1100428.28,-810113.22 -1100871.98,-810000.01 -1102300,-808818.8 -1105489.87,-799326.33 -1112419.74,-798328.66 -1116200.34,-802874.41 -1119739.43,-803159.7 -1122274.59,-812842.71 -1137263.95,-820667.25 -1157604.18,-827062.43 -1160139.07,-833216.26 -1153500.07,-832130.28 -1149033.83,-839572.45 -1137973.7,-842830.39 -1138577.24,-844896.74 -1136703.15,-844934.69 -1136680.12,-845001.06 -1136643.16,-845011.55 -1136634.37,-845033 -1136624.72,-847643.21 -1133872.62,-846503.35 -1131694.44,-858832.12 -1110292.95,-864632.85 -1108007.73,-864462.96 -1109861.12,-865000.53 -1109751.73,-865086.95 -1109733.33,-865101.8 -1109727.71,-865140.59 -1109720.61,-865477.84 -1109606.75,-872030.58 -1107076.32,-879082.01 -1096405.74,-879285.97 -1085963.93,-884656.73 -1068633.43,-891256.82 -1057289.49,-878741 -1042727.54))";"POINT(-835142.81 -1075830.44)";13;11;"Plzeò";854
24;"POLYGON((-785109.62 -1204835.4,-783370.83 -1195380.63,-779218.63 -1192634.8,-765422.47 -1189286.24,-763011.54 -1184397.32,-763915.62 -1172878.21,-762810.59 -1171840.15,-758600.01 -1171400,-758181.18 -1170977.89,-757017.54 -1170584.43,-756682.69 -1170199.34,-756362.49 -1169043.04,-756334.23 -1168885.03,-756332.67 -1168844.67,-758418.72 -1166824.64,-758423.04 -1162433.86,-756067.43 -1161295.28,-756043.89 -1161310.98,-756006.3 -1161351.06,-759699.72 -1154070.8,-757717.07 -1147595.46,-752895.2 -1139826.73,-753370.92 -1132974.79,-755574.01 -1126834.3,-751629.6 -1120216.73,-743961.39 -1117537.85,-735093.23 -1118629.3,-735093.95 -1118611.96,-735114.12 -1118510.52,-735183.17 -1118184.56,-735186.46 -1118171.08,-735223.96 -1118074.42,-735246.34 -1118011.51,-735252.63 -1117976.19,-735254.19 -1117918.89,-735245.54 -1117848,-735229.85 -1117797.25,-735217.56 -1117766.91,-735194.02 -1117720.08,-735168.12 -1117685.54,-735128.37 -1117642.9,-735082.58 -1117609.15,-734377.17 -1117107.78,-734333.21 -1116511.32,-735454.98 -1113983.14,-736954.51 -1111929.01,-737051.18 -1108691.61,-741537.84 -1107325.22,-754717.33 -1099028.91,-768684.61 -1095458.28,-782518.95 -1095467.17,-783899.99 -1094500,-784173.64 -1094725.48,-784140.85 -1094628.72,-783899.99 -1094000,-781762.22 -1091836.38,-782420.48 -1087538.39,-790034.21 -1084335.36,-795676.98 -1088948.41,-799302 -1095572.2,-809984.96 -1100127.57,-809999.17 -1100428.28,-810113.22 -1100871.98,-810000.01 -1102300,-808818.8 -1105489.87,-799326.33 -1112419.74,-798328.66 -1116200.34,-802874.41 -1119739.43,-803159.7 -1122274.59,-812842.71 -1137263.95,-820667.25 -1157604.18,-816202.69 -1167140.21,-811255.48 -1168709.43,-809445.52 -1174744.9,-807598.24 -1175063.09,-807643.6 -1175300.5,-807968 -1175614.42,-807357.14 -1176563.08,-807599.93 -1176776.43,-806453.62 -1178933.2,-807552.13 -1180599.5,-805004.41 -1182073.51,-790718.89 -1195632.18,-794732.91 -1198321.84,-791318.7 -1203839.93,-785109.62 -1204835.4))";"POINT(-781519.34 -1138758.35)";4;11;"Strakonice";861
26;"POLYGON((-697184.83 -1171604.98,-695089.81 -1155872.62,-698190.71 -1144148.82,-701709.48 -1132331.82,-714855.02 -1120918.5,-714914.22 -1120932.41,-714890.29 -1106537.36,-699821.66 -1095152.22,-699382.75 -1096397.11,-698200.39 -1096109.47,-696943.47 -1095374.4,-697646.49 -1094032.1,-697685.37 -1092984.33,-694456.57 -1089707.85,-683677.38 -1081477.46,-671926.56 -1079730.52,-665399.17 -1079739.23,-661400.99 -1079744.57,-648910.82 -1086877.02,-642430.9 -1092915.67,-642440.23 -1092957.3,-642456.44 -1092996.54,-642473.18 -1093034.74,-642503 -1093074.5,-642549.07 -1093117.41,-642585.66 -1093140.43,-641009.23 -1095146.97,-639070.29 -1102941.95,-613154.37 -1110580.73,-611698.07 -1116106.55,-611698.07 -1122736.75,-614879.19 -1129958.52,-617611.97 -1133886.43,-618386.15 -1139331.86,-616561.54 -1150955.3,-616899.99 -1159000,-616682.15 -1159281.99,-616625.54 -1159318.91,-616566.78 -1159374.79,-616597.64 -1159371.42,-616899.99 -1159700,-619239.47 -1162402.15,-633364.31 -1163714.85,-643361.2 -1168579.42,-653600 -1177700,-653699.99 -1177700,-653909.11 -1177674.96,-654300.01 -1177700,-654400 -1177700,-662020.82 -1181200.19,-662029.67 -1189397.87,-664750.48 -1191643.57,-669457.94 -1190483.23,-690858.38 -1173919.07,-697184.83 -1171604.98))";"POINT(-660067.52 -1130604.31)";6;4;"Jihlava";464
27;"POLYGON((-842180.69 -992051.47,-837692.27 -994893.65,-826140.41 -996153.84,-825300.02 -997200,-824867.73 -997407.41,-825299.98 -997700,-825300.02 -998000,-828398.27 -1008283.33,-828241.71 -1011845.34,-825339.65 -1014669.67,-815271.1 -1015161.93,-811299.99 -1013500,-810977.71 -1013445.82,-810919.75 -1013372.32,-811086.55 -1013185.26,-810863.66 -1013012.6,-810659.95 -1013149.22,-810499.99 -1013100,-809799.98 -1013100,-807399.5 -1013336.13,-805753.97 -1015115.99,-803640.54 -1022014.29,-805468.32 -1027450.19,-812533.8 -1030932.7,-815435.51 -1031436.03,-815466.85 -1031408.26,-815460.61 -1031427.47,-815799.98 -1031500,-821477.94 -1032196.94,-855365.51 -1045725.18,-862807.75 -1044768.19,-865888.43 -1041118.26,-866819.74 -1039634.42,-866864.73 -1039521.4,-866954.72 -1039363.39,-867031.38 -1039291.72,-867076.5 -1039340.12,-867065.59 -1039349.24,-867055.4 -1039357.34,-867041.9 -1039370.21,-867041.22 -1039369.59,-867025.06 -1039383.09,-867032.01 -1039392.01,-867044.37 -1039387.27,-867057.6 -1039381.94,-867075.62 -1039365.3,-867076.69 -1039364.25,-867087.03 -1039351.29,-870147.4 -1042627.19,-878741 -1042727.54,-883366.44 -1038644.75,-880977.2 -1035180.76,-882741.01 -1032857.12,-885339.25 -1032980.72,-896118.49 -1022953.18,-894809.7 -1021101.28,-896131.1 -1019720.31,-896147.23 -1019696.01,-896151.15 -1019690.12,-896193.34 -1019640.11,-899488.87 -1016702.64,-899289.31 -1013019.9,-897307.94 -1010384.22,-899034 -1006630.56,-899369.82 -1004951.28,-899463.25 -1004975.47,-899529.18 -1004977.99,-900480.09 -1004959.69,-900555.79 -1004569.95,-900060.02 -1004277.74,-901243.35 -1002580.81,-904586.71 -999620.94,-900628 -997412.17,-902635.16 -992544.33,-896703.45 -993066.51,-896420.47 -998686.75,-892799.75 -999516.91,-894183.55 -1002035.45,-891432.92 -1005134.8,-891308.14 -1005226.71,-891295.29 -1005242.43,-891284.93 -1005253.76,-891280.72 -1005258.29,-890864.25 -1005444.17,-891187.41 -1005663.65,-891204.46 -1005686.66,-891209.55 -1005697.29,-891216.47 -1005709.54,-892677.09 -1007922.01,-891791.27 -1010430.33,-889664.43 -1011210.51,-889653.54 -1011210.43,-889615.51 -1011196.64,-889610.18 -1011199.53,-889606.46 -1011198.74,-888698.58 -1011233.65,-889334.98 -1010698.24,-889304.87 -1010624.43,-889239.18 -1010482.62,-889244.75 -1010410.91,-889258.56 -1010364.17,-889301.39 -1010300.31,-889492.86 -1010116.37,-888256.8 -1009108.55,-888441.1 -1008677.52,-888448.51 -1008669.63,-888467.84 -1008653.27,-888475.25 -1008640.6,-889010.49 -1007424.55,-888646.22 -1006679.96,-888646.66 -1006665.45,-888646.7 -1006656.28,-888649.7 -1006640.49,-888582.09 -1006093.93,-888269.05 -1006279.96,-888253.72 -1006284.19,-888194.76 -1006308.12,-888189.47 -1006312.89,-887837.45 -1003548.92,-881461.17 -995548.42,-879157.43 -995693.74,-876790.65 -993065.65,-876276.98 -992889.66,-876259.49 -992880.44,-876232.91 -992867.59,-876203.93 -992854.89,-876111.86 -992818.93,-875307.81 -993864.74,-874580.58 -993289.88,-874610.41 -991266.55,-872151.95 -988697.68,-864648.7 -987834.52,-858537.06 -990146.11,-856215.63 -987599.15,-856125.88 -987359.82,-856104.26 -987336.73,-856090.29 -987332.26,-856082.61 -987330.31,-856008.67 -987311.14,-849687.15 -985228.36,-842180.69 -992051.47))";"POINT(-855739.9 -1016093.24)";7;13;"Karlovy Vary";852
29;"POLYGON((-574403.06 -1056903.9,-574000 -1061400,-574466.83 -1061633.25,-574000 -1062100,-572880.31 -1069440.33,-577267.74 -1079103.08,-578569.32 -1087017.25,-578544.18 -1087038.97,-578328.73 -1087065.71,-573984.18 -1107248.13,-575968.72 -1116601.09,-579289.3 -1119440.12,-575508.69 -1134037.47,-556942.06 -1149679.52,-563612.57 -1156624.28,-565341.71 -1162306.81,-556152.55 -1165289.85,-547224.94 -1154764.78,-545618.97 -1149217.38,-545560.09 -1149198.29,-544999.99 -1149200,-542948.2 -1150252.58,-541675.77 -1150118.64,-535845.05 -1143907.03,-534900.02 -1142100,-534551.12 -1142264.39,-534200.01 -1142100,-527818.93 -1142188.79,-520150.71 -1139041.16,-510975.6 -1136965.02,-497500.01 -1138600,-497400.01 -1138600,-496991.66 -1138898.81,-497001.07 -1138961.41,-496976.49 -1138921.84,-496800 -1138600,-495768.94 -1134472.32,-509709.89 -1126897.97,-510484.39 -1126897.96,-511100.01 -1127200,-511300 -1127200,-511552.91 -1127417.16,-511636.26 -1127511.94,-511800.02 -1127200,-524241.19 -1104578.97,-528599.55 -1102538.01,-531812.81 -1101903.64,-535129.27 -1102035.75,-542111.09 -1096996.14,-545995.42 -1078378.11,-529970.19 -1055895.03,-524914.58 -1048110.02,-531114.13 -1046087.86,-532604.13 -1047604.48,-532672.26 -1045411.84,-532037.91 -1043214.43,-532034.9 -1043204.15,-532024.61 -1043161.03,-532014.97 -1043137.52,-533010.32 -1040771.57,-540463.45 -1038541.33,-541314.77 -1033432.68,-561098.4 -1022549.04,-565577.37 -1027625.17,-557374.03 -1047268.61,-568986.54 -1050248.58,-574403.06 -1056903.9))";"POINT(-547138.64 -1119614.08)";9;3;"Olomouc";454
32;"POLYGON((-661400.99 -1079744.57,-661006.01 -1076838.94,-660577.73 -1073688.29,-661481.85 -1070875.49,-665835.01 -1067091.62,-684100.01 -1059600,-684901.87 -1059464.5,-684888.45 -1059445.18,-684873.04 -1059426.55,-684864.52 -1059401.4,-684862.42 -1059398.23,-684830.02 -1059349.47,-684812.37 -1059318.26,-684783.56 -1059267.33,-684769.7 -1059244.66,-684758.26 -1059218.61,-684955.29 -1059145.75,-685103.6 -1059260.54,-681666.5 -1052222.43,-654998.73 -1052187.97,-645600.01 -1047600,-645299.98 -1047600,-644898.56 -1047269.59,-644600.02 -1047600,-624699.99 -1057400,-624511.25 -1057305.4,-624435.91 -1057150,-624440.47 -1057076.88,-624427.26 -1057108.67,-624410.77 -1057248.9,-624500 -1057400,-624491.27 -1063293.53,-617400.01 -1069400,-617099.98 -1069400,-616822.45 -1069420.39,-616700 -1069400,-616700 -1068900,-608600.02 -1060800,-608224.1 -1060557.7,-608236.98 -1060475.97,-607900.01 -1060800,-605719.49 -1057885.15,-587870.36 -1056246.09,-581471.78 -1061491.67,-581452.69 -1061500.26,-581444.64 -1061503.33,-581412.1 -1061517.07,-580481.08 -1061795.87,-574403.06 -1056903.9,-574000 -1061400,-574466.83 -1061633.25,-574000 -1062100,-572880.31 -1069440.33,-577267.74 -1079103.08,-578569.32 -1087017.25,-578544.18 -1087038.97,-578328.73 -1087065.71,-573984.18 -1107248.13,-575968.72 -1116601.09,-579289.3 -1119440.12,-586440.57 -1115337.8,-586607.85 -1115315.45,-586672.74 -1115323.81,-586721.38 -1115354.68,-586779.74 -1115407.01,-586860.04 -1115439.7,-586905.32 -1115447.29,-586937.5 -1115447.29,-586973.53 -1115438.8,-590421.25 -1106674.64,-595490.62 -1098497.59,-600400 -1097999.99,-600713.6 -1097789.54,-600736.3 -1097859.52,-600900.02 -1097999.99,-601100.01 -1098000,-613154.37 -1110580.73,-639070.29 -1102941.95,-641009.23 -1095146.97,-642585.66 -1093140.43,-642549.07 -1093117.41,-642503 -1093074.5,-642473.18 -1093034.74,-642456.44 -1092996.54,-642440.23 -1092957.3,-642430.9 -1092915.67,-648910.82 -1086877.02,-661400.99 -1079744.57))";"POINT(-618163.09 -1082566.38)";12;8;"Pardubice";675
41;"POLYGON((-544600.01 -1193400,-544500.01 -1185600,-545129.41 -1185467.4,-545201.23 -1185551.85,-545272.03 -1185494.04,-545226.48 -1185446.95,-545364.55 -1185417.87,-545313.07 -1184673.66,-549522.4 -1182367.52,-556152.55 -1165289.85,-547224.94 -1154764.78,-545618.97 -1149217.38,-545560.09 -1149198.29,-544999.99 -1149200,-542948.2 -1150252.58,-541675.77 -1150118.64,-535845.05 -1143907.03,-534900.02 -1142100,-534551.12 -1142264.39,-534200.01 -1142100,-527818.93 -1142188.79,-520150.71 -1139041.16,-510975.6 -1136965.02,-497500.01 -1138600,-497400.01 -1138600,-496991.66 -1138898.81,-497001.07 -1138961.41,-496976.49 -1138921.84,-496800 -1138600,-495768.94 -1134472.32,-493400 -1134700,-492973.52 -1135002.44,-492899.98 -1135100,-490996.23 -1135943.54,-482332.34 -1137807.58,-465035.15 -1151107.73,-468622.81 -1158217.55,-482185.19 -1161484.85,-486074.72 -1166112.41,-487832.92 -1173214.77,-487838.13 -1173238.33,-487842.57 -1173259.04,-487848.82 -1173275.59,-491374.19 -1186133.31,-494838.84 -1189161.99,-494689.05 -1189540.2,-494700.62 -1189554.03,-494843.41 -1189451.09,-495102.76 -1189198.14,-503840.22 -1189385.06,-508024.02 -1200576.68,-527204.18 -1206295.83,-528606.12 -1196386.25,-532088.58 -1193439.55,-542929.67 -1193079.52,-543700.01 -1192900,-543981.3 -1193169.5,-544211.8 -1193375.66,-544346.14 -1193491.55,-544363.47 -1193503.15,-544600.01 -1193400))";"POINT(-516420.56 -1164106.77)";21;3;"Zlín";453
39;"POLYGON((-842180.69 -992051.47,-837692.27 -994893.65,-826140.41 -996153.84,-825300.02 -997200,-824867.73 -997407.41,-825299.98 -997700,-825300.02 -998000,-828398.27 -1008283.33,-828241.71 -1011845.34,-825339.65 -1014669.67,-815271.1 -1015161.93,-811299.99 -1013500,-810977.71 -1013445.82,-810919.75 -1013372.32,-811086.55 -1013185.26,-810863.66 -1013012.6,-810659.95 -1013149.22,-810499.99 -1013100,-809799.98 -1013100,-807399.5 -1013336.13,-805753.97 -1015115.99,-803640.54 -1022014.29,-799766.06 -1021301.02,-796799.99 -1021300.01,-796300.01 -1021300.01,-795600.01 -1021300.01,-795600.01 -1021700,-795400.02 -1021700,-795400.02 -1022400,-795299.98 -1022400,-794779.95 -1022530.58,-794900 -1022400,-794900 -1021700,-795099.99 -1021700,-795099.99 -1021000,-795400.02 -1021000,-795400.02 -1020500,-795437.4 -1017641.84,-791367.98 -1017379.28,-791376.5 -1020526.97,-790500 -1020500,-789500.01 -1020500,-789820.13 -1019942.94,-789500.01 -1019800,-789500.01 -1019700,-788999.99 -1019700,-783922.53 -1019677.05,-775417.16 -1014620.69,-769800.01 -1014700,-769299.99 -1014700,-769299.99 -1015300,-768599.99 -1015300,-766677.38 -1014721.17,-764165.93 -1013214.3,-763777.15 -1004043.25,-765411.46 -1002564.86,-765444.97 -997608.97,-763890.92 -995903.25,-773295.24 -985978.96,-773893.85 -980805.41,-773722.2 -980572.06,-773496.19 -980563.69,-773181.32 -980362.97,-772386.96 -981468.85,-770210.4 -982439.93,-768301.72 -982356.22,-764166.21 -980296.85,-764182.98 -979108.1,-764936.39 -978258.4,-765004.16 -977934.01,-765039.98 -977702.49,-765069.29 -977633.68,-765224.16 -977462.07,-765258.71 -977384.63,-765262.87 -977289.41,-765246.14 -977231.86,-765230.97 -977199.68,-765197.22 -977156.25,-765153.79 -977122.77,-765108.52 -977099.49,-765056.2 -977082.22,-765015.49 -977069.77,-766288.89 -977255.67,-767692.7 -975930.1,-768125.91 -974461.43,-769895.44 -973751.96,-770642.05 -973647.83,-770774.43 -973610.16,-771133.33 -973472.04,-771135.46 -973466.65,-771126.57 -973465.76,-770793.24 -973593.42,-769498.78 -971847.98,-765510.62 -970108.29,-765116.96 -968065.88,-769162.53 -965952.97,-784450.01 -966072.64,-784462.02 -966057.08,-784467.02 -966049.15,-784485.27 -966062.04,-784491.24 -966057.12,-784507.13 -966041.94,-785762.56 -964480.81,-790605.88 -966200.22,-796164.07 -965953.56,-797275.03 -973004.59,-802218.07 -976594.4,-807713.01 -970324.31,-816922.23 -975170.87,-822506.59 -984574.59,-832363.42 -983347.3,-833092.57 -982099.31,-833914.55 -982132.33,-833992.77 -982633.42,-834003.21 -982652.52,-834009.34 -982661.93,-834013.1 -982667.81,-834016.55 -982674.38,-834089.36 -983173.47,-835417.84 -985482.09,-835641.13 -988566.93,-842180.69 -992051.47))";"POINT(-794126.19 -993935.53)";19;13;"Most";671
